21:28:30.469173 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delivered
21:28:30.475780 [queue=0] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is dropped
21:28:35.480116 [queue=1] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 60ms
21:28:35.541221 [queue=0] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:35.541953 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is dropped
21:28:40.480712 [queue=1] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 280ms
21:28:40.542997 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delayed for 470ms
21:28:40.763882 [queue=1] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:40.764900 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is dropped
21:28:41.014179 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delivered
21:28:41.015897 [queue=1] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 880ms
21:28:41.897613 [queue=0] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:41.902967 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delayed for 150ms
21:28:41.903058 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delayed for 80ms
21:28:41.903101 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is dropped
21:28:41.984202 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delivered
21:28:41.984488 [queue=2] packet #2, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 290ms
21:28:42.054117 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delivered
21:28:42.054418 [queue=1] packet #1, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is dropped
21:28:42.275601 [queue=0] packet #2, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:45.289661 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delayed for 310ms
21:28:45.289706 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delayed for 260ms
